"","OR","2.5 %","97.5 %","Estimate","Std. Error","t value","Pr(>|t|)","V8"
"(Intercept)","1.03351646670825","0.991095446932003","1.07775319749842","0.0329670329670352","0.0213837952288089","1.54168297134743","0.123259418763372","disability"
"country_cat","1.07230522272148","1.02676408188032","1.11986629739721","0.0698107448107477","0.0221425273059212","3.15279027756147","0.00163364744013779","disability"
"SES_both2","1.00705775642586","0.89264417472808","1.1361361598382","0.00703296703296867","0.0615318475478359","0.114297998731488","0.909009456690863","disability"
"country_cat:SES_both2","0.910572539931348","0.801151336669881","1.0349384848105","-0.0936817125526866","0.0653194158402006","-1.43420928291631","0.151620032222306","disability"
"(Intercept)1","1.25731729728112","1.23948104795106","1.27541021192342","0.22898032200357","0.00728969502289386","31.4115091625149","1.2207542533671e-202","sex discrimination, female"
"country_cat1","0.872588366389731","0.857183728622686","0.888269844298296","-0.136291350504202","0.00908774202344377","-14.9972732668478","4.6164492803228e-50","sex discrimination, female"
"SES_both21","1.04471795631414","0.994892133442033","1.09703913776978","0.0437469507237025","0.0249330637758236","1.75457581615469","0.0793759608164193","sex discrimination, female"
"country_cat:SES_both21","0.984197665386233","0.927926385362958","1.04388134644197","-0.0159285226459062","0.0300384870734356","-0.530270469580093","0.595941361416165","sex discrimination, female"
"(Intercept)2","1.07526295940521","1.06402377541585","1.08662086184772","0.072565245066838","0.00536107253208393","13.5355835297066","4.63122742837652e-41","sex discrimination, male"
"country_cat2","0.964933680539854","0.952562497729309","0.977465531195812","-0.0356959048339774","0.0065836183662788","-5.42192801101767","6.15793440224734e-08","sex discrimination, male"
"SES_both22","1.02955808881014","0.996116713762176","1.06412214913148","0.0291296701874011","0.0168475115964321","1.72901915043466","0.0838640757531858","sex discrimination, male"
"country_cat:SES_both22","0.950873721306386","0.914355860687176","0.98885004487372","-0.0503740104202643","0.0199806878569002","-2.52113494695669","0.0117268830693012","sex discrimination, male"
"(Intercept)3","1.32019278843412","1.27101191277861","1.37127668207548","0.277777777777779","0.0193699543222901","14.340652185128","4.16752671084119e-41","race discrimination"
"country_cat3","0.912709984671006","0.847212222944235","0.983271361717571","-0.091337099811676","0.0379940438266106","-2.4039846937194","0.0164748896711956","race discrimination"
"SES_both23","0.945959468906769","0.710219936615499","1.25994677237401","-0.0555555555555522","0.146239948152051","-0.379893156812317","0.704139302505849","race discrimination"
"country_cat:SES_both23","1.15822962662261","0.811446922794284","1.65321456068478","0.146892655367219","0.181548721625621","0.809108728785941","0.418725967421989","race discrimination"
"(Intercept)4","1.00236686280169","0.999479769847","1.00526229540065","0.00236406619385325","0.00147167587581253","1.6063769425778","0.108226717631579","sexual orientation discrimination"
"country_cat4","1.01155457843887","1.00753097653871","1.01559424870083","0.0114883340927489","0.00203349337742885","5.6495556957627","1.65832416132923e-08","sexual orientation discrimination"
"SES_both24","1.00542260391347","0.995909659241895","1.01502641638162","0.00540795453153546","0.00485043791124428","1.11494150229173","0.264905704213926","sexual orientation discrimination"
"country_cat:SES_both24","0.98893143880641","0.976411892664738","1.00161151047708","-0.0111302735173211","0.00650036786655929","-1.71225286719235","0.0868850391488055","sexual orientation discrimination"
"(Intercept)5","1.07281791678294","1.0617524009748","1.0839987566911","0.0702887537993929","0.00528989427114888","13.2873645854792","1.41544471342228e-39","weight discrimination,  BMI>29.9"
"country_cat5","1.028998830395","1.01207529012715","1.04620535970328","0.0285863202088947","0.00846105075549012","3.3785780318533","0.000734566244235983","weight discrimination,  BMI>29.9"
"SES_both25","0.993369687999765","0.956970767212594","1.03115306218914","-0.00665239016302994","0.0190462908525315","-0.349274838578124","0.726898690311386","weight discrimination,  BMI>29.9"
"country_cat:SES_both25","0.976549798380446","0.920460582915083","1.03605686807","-0.0237295331603238","0.0301799257114652","-0.786268773064245","0.431749825998888","weight discrimination,  BMI>29.9"
"(Intercept)6","1.01747771123371","1.01073385574698","1.02426656332025","0.0173267326732676","0.00339295816794124","5.10667441673205","3.465012843431e-07","weight discrimination,  BMI>25.0, <=29.9 "
"country_cat6","0.990422841631248","0.98269067668579","0.998215846041414","-0.00962331428135583","0.00399883206338044","-2.40653123932909","0.0161595671362404","weight discrimination,  BMI>25.0, <=29.9 "
"SES_both26","0.982822511942285","0.96365731780071","1.00236886301558","-0.0173267326732691","0.0100475286848663","-1.72447705467782","0.0847155993850986","weight discrimination,  BMI>25.0, <=29.9 "
"country_cat:SES_both26","1.01295324329006","0.990093491154991","1.03634079231739","0.0128700675281092","0.0116461182502938","1.10509504124128","0.269199143676298","weight discrimination,  BMI>25.0, <=29.9 "
"(Intercept)7","1.05955481834093","1.05179887032267","1.0673679585956","0.0578488372093017","0.00374850208303658","15.4325210251556","5.73342194695353e-53","weight discrimination,  BMI>25.0 "
"country_cat7","0.990786540496375","0.980768380471098","1.00090703205302","-0.00925616594005081","0.00518519063015126","-1.78511584245858","0.0742804989959487","weight discrimination,  BMI>25.0 "
"SES_both27","0.985467667973665","0.961096619588177","1.01045670625455","-0.0146389606660919","0.0127764458544488","-1.14577722418748","0.251921699529557","weight discrimination,  BMI>25.0 "
"country_cat:SES_both27","0.990322495654395","0.958227993011968","1.023491958648","-0.00972463571329378","0.0168089339102132","-0.578539707826743","0.562916124071507","weight discrimination,  BMI>25.0 "
