"","analysis_variable_name","rownames_situations","discrim_lessrespectcross_country_OR_UK","discrim_lessrespectCI1_UK","discrim_lessrespectCI2_UK","discrim_lessrespectcross_country_OR_USA","discrim_lessrespectCI1_USA","discrim_lessrespectCI2_USA","discrim_lessrespectchi_value_cross_national","discrim_lessrespectpvalue_cross_national"
"L.R..Chisq","disability","discrim_lessrespect",1.30502419333531,0.942221709241435,1.80752377968622,3.58387534481787,1.75922532891995,7.30103317411809,0.418354874637735,0.517759073323353
"L.R..Chisq.1","disability","discrim_medical",0.565879314570346,0.404602214007521,0.791442526937468,1.56951615217504,0.755212982455551,3.26183607692856,1.91278265736947,0.166654483935732
"L.R..Chisq.2","disability","discrim_notclever",1.06441177407714,0.71618744883156,1.58194956731292,1.19267679386396,0.497080072081458,2.86166759545438,0.0229035570062983,0.879708138999875
"L.R..Chisq.3","disability","discrim_poor_service",0.909191505460893,0.610845521614271,1.35325407873618,2.27964139393689,0.94683695515113,5.48855307841367,0.0534246495765949,0.817207805411407
"L.R..Chisq.4","disability","discrim_harrased",0.525315398935747,0.367786727028848,0.750316006747512,4.58918584342998,2.09866855371647,10.0352324183076,2.44370644507396,0.117997121528406
"L.R..Chisq1","financial discrimination","discrim_lessrespect",1.45148605370024,1.29645406395349,1.62505700947217,1.25683669311969,0.864420536835904,1.82739581703378,8.98730441866404,0.00271861732648093
"L.R..Chisq.11","financial discrimination","discrim_medical",0.55767366227889,0.506607462068657,0.61388735240817,1.6456321101535,1.19958147514127,2.25754156602769,21.8519988712484,2.94509645126784e-06
"L.R..Chisq.21","financial discrimination","discrim_notclever",0.998714901276456,0.88444296962725,1.12775101197538,1.32622983725024,0.887693357862835,1.98141122227997,0.000106393491748236,0.991770188430508
"L.R..Chisq.31","financial discrimination","discrim_poor_service",0.890046506533925,0.789721139095048,1.00311710624971,1.47577952035897,0.994537550599695,2.18988734150629,0.868574390395707,0.351350280165892
"L.R..Chisq.41","financial discrimination","discrim_harrased",0.608200303204154,0.549711989889672,0.67291166214487,2.85088609890846,2.04256886009925,3.97908325526641,15.7707909478524,7.14978487020845e-05
"L.R..Chisq2","financial discrimination, female","discrim_lessrespect",1.40481045021079,1.09739082332317,1.79834964816383,1.05282105430893,0.531581653602443,2.08515881781189,1.74202198066771,0.186882832242044
"L.R..Chisq.12","financial discrimination, female","discrim_medical",0.540038309125803,0.450339387696877,0.647603525898471,1.82337769991475,1.11148745477471,2.99122245803512,5.80557058019312,0.0159754832243613
"L.R..Chisq.22","financial discrimination, female","discrim_notclever",0.914146535803845,0.713853998307552,1.17063698025564,1.68136596758615,0.84813028465297,3.333204306121,0.121493612478087,0.727420158522972
"L.R..Chisq.32","financial discrimination, female","discrim_poor_service",0.78808121647896,0.617724751452676,1.0054186792846,1.88071899609774,0.966019778487817,3.66152331561965,0.862024158099061,0.353172864649231
"L.R..Chisq.42","financial discrimination, female","discrim_harrased",0.568113983274983,0.467013633880731,0.691100804296851,3.20344322581703,1.87798040866331,5.46440657937278,4.88971652858551,0.0270171217891082
"L.R..Chisq3","financial discrimination, male","discrim_lessrespect",1.48243929538925,1.1351314703572,1.93601034056666,1.65734451071296,0.870451562731525,3.15559296438139,1.85778145599695,0.172881070549799
"L.R..Chisq.13","financial discrimination, male","discrim_medical",0.586000364621975,0.472924196025985,0.726113043533557,1.0444888694004,0.62984240053973,1.73211107630487,3.19930249364943,0.0736696832692733
"L.R..Chisq.23","financial discrimination, male","discrim_notclever",1.08672310429711,0.819144554992882,1.44170781361465,1.72876353534808,0.874171611516648,3.41880624098976,0.0829065217719815,0.773396551208897
